just	Sadece
other	diğer
also	Ayrıca
new	yeni
so	Bu yüzden
way	yol
only	sadece
well	Peki
even	eşit
good	iyi
get	elde etmek
still	Hala
world	dünya
life	hayat
man	Adam
make	yapmak
never	Asla
see	Görmek
go	Gitmek
know	Bilmek
school	okul
state	durum
american	Amerikan
take	almak
say	söylemek
family	aile
work	iş
thing	şey
old	eskimiş
great	Harika
always	Her zaman
big	büyük
high	yüksek
government	devlet
right	Sağ
think	düşünmek
part	parça
lot	pay
house	ev
national	ulusal
country	ülke
money	para
different	farklı
place	yer
water	su
small	küçük
president	başkan
room	oda
group	grup
system	sistem
black	siyah
little	biraz
mother	anne
number	sayı
important	önemli
woman	kadın
political	siyasi
fact	hakikat
case	dava
head	KAFA
often	sıklıkla
home	Ev
hand	el
however	Yine de
point	nokta
yet	henüz
social	sosyal
ever	durmadan
business	işletme
long	uzun
company	şirket
kind	tür
father	baba
young	genç
power	güç
almost	neredeyse
information	bilgi
white	beyaz
health	sağlık
side	taraf
real	gerçek
come	Gelmek
end	son
program	programı
find	bulmak
much	fazla
want	istek
city	şehir
public	halk
problem	sorun
war	savaş
question	soru
story	hikaye
back	geri
sure	Elbette
research	araştırma
already	çoktan
education	eğitim
help	yardım
tell	söylemek
child	çocuk
job	iş
history	tarih
face	yüz
large	büyük
maybe	Belki
study	çalışmak
news	haberler
community	toplum
both	ikisi birden
enough	yeterli
law	kanun
area	alan
air	hava
team	takım
door	kapı
body	vücut
book	kitap
music	müzik
office	ofis
human	insan
too	fazla
person	kişi
give	vermek
car	araba
name	isim
game	oyun
line	astar
once	bir kere
food	yiyecek
local	yerel
keep	kale
care	bakım
process	işlem
sense	algı
use	kullanmak
moment	an
economic	ekonomik
age	yaş
idea	fikir
else	başka
look	Bakmak
major	ana
perhaps	belki
party	parti
early	erken
bad	kötü
military	askeri
college	üniversite
possible	olası
whole	tüm
like	beğenmek
art	sanat
development	gelişim
death	ölüm
service	hizmet
issue	sorun
federal	federal
international	uluslararası
free	özgür
control	kontrol
far	uzak
policy	politika
TRUE	DOĞRU
voice	ses
market	pazar
level	seviye
wife	eş
full	tam dolu
heart	kalp
special	özel
hard	zor
role	rol
experience	deneyim
oil	yağ
talk	konuşmak
reason	sebep
society	toplum
show	göstermek
interest	faiz
court	mahkeme
either	herhangi biri
mind	akıl
director	müdür
recent	son
town	şehir
center	merkez
space	uzay
personal	kişisel
word	kelime
student	öğrenci
son	oğul
hair	saç
support	Destek
class	sınıf
open	açık
certain	kesin
love	Aşk
table	masa
red	kırmızı
field	alan
guy	adam
clear	temizlemek
security	güvenlik
strong	güçlü
evidence	kanıt
plan	planı
phone	telefon
attention	dikkat
couple	çift
put	koymak
light	ışık
girl	kız
boy	erkek çocuk
current	akım
difficult	zor
ground	zemin
available	mevcut
nation	ulus
change	değiştirmek
energy	enerji
likely	büyük ihtimalle
feel	hissetmek
congress	kongre
friend	arkadaş
industry	endüstri
view	görüş
low	Düşük
administration	yönetim
force	güç
single	Bekar
late	geç
medical	tıbbi
relationship	ilişki
position	konum
significant	önemli
land	kara
wrong	yanlış
all	Tümü
ask	sormak
action	aksiyon
similar	benzer
private	özel
paper	kağıt
building	bina
hear	duymak
road	yol
technology	teknoloji
situation	durum
foreign	yabancı
nature	doğa
report	rapor
defense	savunma
understand	anlamak
past	geçmiş
campaign	kampanya
model	modeli
floor	zemin
thus	Böylece
soon	yakında
rest	dinlenmek
blood	kan
effect	etki
economy	ekonomi
common	yaygın
husband	koca
dead	ölü
culture	kültür
natural	doğal
general	genel
future	gelecek
decision	karar
period	dönem
tax	vergi
believe	inanmak
baby	Bebek
top	tepe
play	oynamak
short	kısa
easy	kolay
matter	konu
become	haline gelmek
church	kilise
try	denemek
bed	yatak
performance	performans
ok	Tamam
form	biçim
central	merkezi
physical	fiziksel
practice	pratik
fire	ateş
drug	ilaç
population	nüfus
teacher	Öğretmen
pay	ödemek
bring	getirmek
